,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN
0,,,,,,,,CRAMER-w,,,,,,,,,,,,,2406,,,,,,,,,,,,
0,,,,,,,,,,,,,CRAMER-w,,,,,,,,2407,,,,WEICHSELL~e,True,,RONCAGLIA,,,,,
1,,,,,,,,,,,,,LEBRUN,,,,,,,,2407,,,,,,,LEBRUN~,,,,,
2,,,,,,,,,,,,,FLORIO,,,,,,,,2407,,,,,,,,,,,,
3,,,,,,,,,,,,,CROSDILL,,,,,,,,2407,,,,,,,,,,,,
0,,,,,,,,,,,HINNER,,BACH,,,,,,,,2408,,,,,True,,ANSANI,,,,,
1,,,,,,,,,,,,,ABEL,,,,,,,,2408,,,,,,,POLLONE~,,,,,
2,,,,,,,,,,,,,CROSDILL,,,,,,,,2408,,,,,,,TENDUCCI,,,,,
3,,,,,,,,,,,,,FISCHER,,,,,,,,2408,,,,,,,,,,,,
4,,,,,,,,,,,,,CRAMER-w,,,,,,,,2408,,,,,,,,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2409,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2409,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2409,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2409,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2409,,,,,,,REINHOLD,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2410,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2410,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2410,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2410,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2410,,,,,,,REINHOLD,,,,,
0,,,,,,,,ARNOLD,,,,,,SALOMON,,,,,,,2411,,,,,True,,,,,,,
0,,,,,,,,,,,,,SALOMON,,,,,,,,2412,,,,,,,ANSANI,,,,,
1,,,,,,,,,,,,,CERVETTO-j,,,,,,,,2412,,,,,,,LEBRUN~,,,,,
2,,,,,,,,,,,,,VINCENT,,,,,,,,2412,,,,,,,,,,,,
3,,,,,,,,,,,,,SNOW-j,,,,,,,,2412,,,,,,,,,,,,
0,,,,,,,,CRAMER-w,,,,,,,,,,,,,2413,,,,,,,,,,,,
0,,,,,,,,,,,HINNER,,BACH,,,,,,,,2414,,,,,True,,ANSANI,,,,,
1,,,,,,,,,,,,,ABEL,,,,,,,,2414,,,,,,,POLLONE~,,,,,
2,,,,,,,,,,,,,CROSDILL,,,,,,,,2414,,,,,,,TENDUCCI,,,,,
3,,,,,,,,,,,,,FISCHER,,,,,,,,2414,,,,,,,,,,,,
4,,,,,,,,,,,,,CRAMER-w,,,,,,,,2414,,,,,,,,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2415,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2415,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2415,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2415,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2415,,,,,,,REINHOLD,,,,,
0,,,,,,,,,,,,,BARTHELEMON,,,,,,,,2416,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,LEBRUN,,,,,,,,2416,,,,,,,ANSANI,,,,,
2,,,,,,,,,,,,,CERVETTO-j,,,,,,,,2416,,,,,,,RAUZZINI,,,,,
3,,,,,,,,,,,,,GUEST~,,,,,,,,2416,,,,,,,ABRAMS~,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2417,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2417,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2417,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2417,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2417,,,,,,,REINHOLD,,,,,
0,,,,,,,,CRAMER-w,,,,,,,,,,,,,2419,,,,,,,,,,,,
0,,,,,,,,,,,HINNER,,BACH,,,,,,,,2420,,,,,True,,ANSANI,,,,,
1,,,,,,,,,,,,,ABEL,,,,,,,,2420,,,,,,,POLLONE~,,,,,
2,,,,,,,,,,,,,CROSDILL,,,,,,,,2420,,,,,,,TENDUCCI,,,,,
3,,,,,,,,,,,,,FISCHER,,,,,,,,2420,,,,,,,,,,,,
4,,,,,,,,,,,,,CRAMER-w,,,,,,,,2420,,,,,,,,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2421,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2421,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2421,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2421,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2421,,,,,,,REINHOLD,,,,,
5,,,,,,,,,,,,,,,,,,,,,2421,,,,,,,YOUNG_GENTLEMAN,,,,,
0,,,,,,,,,,,,,BARTHELEMON,,,,,,,,2422,,,,,True,,ABRAMS~,,,,,
1,,,,,,,,,,,,,CROSDILL,,,,,,,,2422,,,,,,,WEBBE,,,,,
2,,,,,,,,,,,,,LEBRUN,,,,,,,,2422,,,,,,,PIOZZI,,,,,
0,,,,,,,,,,,,,BARTHELEMON,,,,,,,,2424,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,LEBRUN,,,,,,,,2424,,,,,,,ANSANI,,,,,
2,,,,,,,,,,,,,CERVETTO-j,,,,,,,,2424,,,,,,,RAUZZINI,,,,,
3,,,,,,,,,,,,,GUEST~,,,,,,,,2424,,,,,,,ABRAMS~,,,,,
0,,,,,,,,,,,,,CRAMER-w,,,,,,,,2425,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,HINNER,,,,,,,,2425,,,,,,,ABRAMS~,,,,,
2,,,,,,,,,,,,,CROSDILL,,,,,,,,2425,,,,,,,MANZOLETTO,,,,,
3,,,,,,,,,,,,,FISCHER,,,,,,,,2425,,,,,,,,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2426,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2426,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2426,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2426,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2426,,,,,,,REINHOLD,,,,,
5,,,,,,,,,,,,,,,,,,,,,2426,,,,,,,YOUNG_GENTLEMAN,,,,,
0,,,,,,,,,,,,,,,,,,,,,2427,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,2427,,,,,,,WEICHSELL~f,,,,,
2,,,,,,,,,,,,,,,,,,,,,2427,,,,,,,WEICHSELL~e,,,,,
0,,,,,,,,,,,,,,,,,,,,,2428,,,,,True,,,,,,,
0,,,,,,,,,,,HINNER,,BACH,,,,,,,,2429,,,,,True,,ANSANI,,,,,
1,,,,,,,,,,,,,ABEL,,,,,,,,2429,,,,,,,POLLONE~,,,,,
2,,,,,,,,,,,,,CROSDILL,,,,,,,,2429,,,,,,,TENDUCCI,,,,,
3,,,,,,,,,,,,,FISCHER,,,,,,,,2429,,,,,,,,,,,,
4,,,,,,,,,,,,,CRAMER-w,,,,,,,,2429,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2430,,,,,True,,,,,,,
0,,,,,,,,,,,,,BARTHELEMON,,,,,,,,2431,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,LEBRUN,,,,,,,,2431,,,,,,,ANSANI,,,,,
2,,,,,,,,,,,,,CERVETTO-j,,,,,,,,2431,,,,,,,RAUZZINI,,,,,
3,,,,,,,,,,,,,GUEST~,,,,,,,,2431,,,,,,,ABRAMS~,,,,,
0,,,CRAMER-w,,,,,,,,,,,,,,,,,,2432,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2434,,,,,True,,,,,,,
0,,,,,,,,SAMPIERI,,,,,,,,,,,,,2435,,,,,True,,,,,,,
0,,,COOKE,,,,,,,,,,,CRAMER-w,,,,,,,2436,PARKE,,,,,,HARPER~,,,CROSDILL,,
1,,,,,,,,,,,,,,,,,,,,,2436,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2436,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2436,,,,,,,DYNE,,,,,
4,,,,,,,,,,,,,,,,,,,,,2436,,,,,,,HARRISON,,,,,
5,,,,,,,,,,,,,,,,,,,,,2436,,,,,,,REINHOLD,,,,,
0,,,,,,,,,,,HINNER,,BACH,,,,,,,,2437,,,,,True,,ANSANI,,,,,
1,,,,,,,,,,,,,ABEL,,,,,,,,2437,,,,,,,POLLONE~,,,,,
2,,,,,,,,,,,,,CROSDILL,,,,,,,,2437,,,,,,,TENDUCCI,,,,,
3,,,,,,,,,,,,,FISCHER,,,,,,,,2437,,,,,,,,,,,,
4,,,,,,,,,,,,,CRAMER-w,,,,,,,,2437,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2440,,,,,True,,,,,,,
0,,,,,,,,,,,HINNER,,BACH,,,,,,,,2441,,,,,True,,ANSANI,,,,,
1,,,,,,,,,,,,,ABEL,,,,,,,,2441,,,,,,,POLLONE~,,,,,
2,,,,,,,,,,,,,CROSDILL,,,,,,,,2441,,,,,,,TENDUCCI,,,,,
3,,,,,,,,,,,,,FISCHER,,,,,,,,2441,,,,,,,,,,,,
4,,,,,,,,,,,,,CRAMER-w,,,,,,,,2441,,,,,,,,,,,,
0,,,GIARDINI,,,,,,,,,,,,,,,,,,2443,,,,,True,,PIOZZI,,,,,
1,,,,,,,,,,,,,,,,,,,,,2443,,,,,,,ABRAMS~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2443,,,,,,,ABRAMS~t,,,,,
0,,,,,,,,CRAMER-w,,,,,,,,,,,,,2444,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2445,,,,,True,,,,,,,
0,,,,,,,,SALOMON,,,,,,,,,,,,,2446,,,,,True,,,,,,,
0,,,,,,,,,,,HINNER,,BACH,,,,,,,,2447,,,,,True,,ANSANI,,,,,
1,,,,,,,,,,,,,ABEL,,,,,,,,2447,,,,,,,POLLONE~,,,,,
2,,,,,,,,,,,,,CROSDILL,,,,,,,,2447,,,,,,,TENDUCCI,,,,,
3,,,,,,,,,,,,,FISCHER,,,,,,,,2447,,,,,,,,,,,,
4,,,,,,,,,,,,,CRAMER-w,,,,,,,,2447,,,,,,,,,,,,
0,,,,,,,,CURTIS-t,,,,,,,,,,,,True,2449,,,,,True,,,,,,,
0,,,,,,,,,,,,,BACH,,,,,,,,2450,,,,,True,,ANSANI,,,,,
1,,,,,,,,,,,,,FISCHER,,,,,,,,2450,,,,,,,,,,,,
2,,,,,,,,,,,,,SALOMON,,,,,,,,2450,,,,,,,,,,,,
3,,,,,,,,,,,,,CROSDILL,,,,,,,,2450,,,,,,,,,,,,
4,,,,,,,,,,,,,KAMMELL,,,,,,,,2450,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2451,,,,,True,,,,,,,
0,,,,,,,,BARTHELEMON,,,,,,,,,,,,,2452,,,,,,,PIOZZI,,,,,
1,,,,,,,,,,,,,,,,,,,,,2452,,,,,,,POLLONE~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2452,,,,,,,ABRAMS~,,,,,
0,,,,,,,,,,,,,,,,,,,,,2453,,,,,True,,,,,,,
0,,,,,,,,CRAMER-w,,,,,,,,,,,,,2454,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2455,,,,,,,PIOZZI,,,,,
1,,,,,,,,,,,,,,,,,,,,,2455,,,,,,,PALMER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2455,,,,,,,POLLONE~,,,,,
0,,,,,,,,,,,,,CRAMER-w,,,,,,,,2456,,,,,,,RONCAGLIA,,,,,
1,,,,,,,,,,,,,FISCHER,,,,,,,,2456,,,,,,,,,,,,
2,,,,,,,,,,,,,CERVETTO-j,,,,,,,,2456,,,,,,,,,,,,
3,,,,,,,,,,,,,FLORIO,,,,,,,,2456,,,,,,,,,,,,
4,,,,,,,,,,,,,MOLLER,,,,,,,,2456,,,,,,,,,,,,
0,,,,,,,,BORGHI,,,,,,,,,,,,,2457,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2458,,,,GUEST~,True,,ANSANI,,,,,
0,,,,,,,,,,,,,,,,,,,,True,2459,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2462,,,,,True,,,,,,,
0,,,,,,,,,,,,,CRAMER-w,,,,,,,,2463,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,CROSDILL,,,,,,,,2463,,,,,,,LEBRUN~,,,,,
2,,,,,,,,,,,,,FISCHER,,,,,,,,2463,,,,,,,,,,,,
3,,,,,,,,,,,,,PIELTAIN-pj,,,,,,,,2463,,,,,,,,,,,,
4,,,,,,,,,,,,,DECAMP,,,,,,,,2463,,,,,,,,,,,,
0,,,,,,,,,,,,,ABEL,,,,,,,True,2464,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,CRAMER-w,,,,,,,,2464,,,,,,,RONCAGLIA,,,,,
2,,,,,,,,,,,,,CROSDILL,,,,,,,,2464,,,,,,,GIORGI~,,,,,
3,,,,,,,,,,,,,FISCHER,,,,,,,,2464,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2465,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2466,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,2466,,,,,,,LEBRUN~,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2467,,,STANLEY,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2467,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2467,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2467,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2467,,,,,,,REINHOLD,,,,,
0,,,,,,,,,,,,,,,,,,,,,2468,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,2468,,,,,,,LEBRUN~,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,2469,,,,,True,,LOCKHART,,,,,
1,,,,,,,,,,,,,,,,,,,,,2469,,,,,,,LOCKHART~1,,,,,
2,,,,,,,,,,,,,,,,,,,,,2469,,,,,,,HINDLE,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2471,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2471,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2471,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2471,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2471,,,,,,,REINHOLD,,,,,
0,,,,,,,,BARTHELEMON,,,,,,,,,,,,,2472,,,,,True,,,,,,,
1,,,,,,,,ARNOLD,,,,,,,,,,,,,2472,,,,,,,,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2473,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2473,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2473,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2473,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2473,,,,,,,REINHOLD,,,,,
0,,,,,,,,,,,,,,,,,,,,,2474,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,2474,,,,,,,LEBRUN~,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2476,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2476,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2476,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2476,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2476,,,,,,,REINHOLD,,,,,
0,,,,,,,,,,,,,,PIELTAIN-dp,,,,,,,2477,,,,,True,,RONCAGLIA,,,,,
1,,,,,,,,,,,,,,,,,,,,,2477,,,,,,,WEBBE~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2477,,,,,,,WEBBE~1,,,,,
3,,,,,,,,,,,,,,,,,,,,,2477,,,,,,,HARRISON,,,,,
4,,,,,,,,,,,,,,,,,,,,,2477,,,,,,,DYNE,,,,,
5,,,,,,,,,,,,,,,,,,,,,2477,,,,,,,HINDLE,,,,,
6,,,,,,,,,,,,,,,,,,,,,2477,,,,,,,WEBBE,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2478,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2478,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2478,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2478,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2478,,,,,,,REINHOLD,,,,,
0,,,,,,,,,,,,,,,,,,,,,2479,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,2479,,,,,,,LEBRUN~,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2481,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2481,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2481,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2481,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2481,,,,,,,REINHOLD,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2482,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2482,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2482,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2482,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2482,,,,,,,REINHOLD,,,,,
0,,,,,,,,,,,,,,,,,,,,,2483,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,2483,,,,,,,LEBRUN~,,,,,
0,,,,,,,,,,,,,,,,,,,,,2486,,,,,True,,WHEELER~,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2487,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2487,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2487,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2487,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2487,,,,,,,REINHOLD,,,,,
0,,,,,,,,,,,,,,,,,,,,,2488,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,2488,,,,,,,LEBRUN~,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2490,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2490,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2490,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2490,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2490,,,,,,,REINHOLD,,,,,
0,,,,,,,,,,,,,,RICHARDS,,,,,,,2491,,,,,True,,LINLEY~m2,,,,,
1,,,,,,,,,,,,,,,,,,,,,2491,,,,,,,DRAPER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2491,,,,,,,PRUDOM~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2491,,,,,,,NORRIS,,,,,
4,,,,,,,,,,,,,,,,,,,,,2491,,,,,,,REINHOLD,,,,,
0,,,,,,,,,,,,,,,,,,,,,2493,,,,,True,,TENDUCCI,,,,,
1,,,,,,,,,,,,,,,,,,,,,2493,,,,,,,LEBRUN~,,,,,
0,,,,,,,,,,,,,,,,,,,,,2495,,,,,,,BANTI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,2495,,,,,,,PIOZZI,,,,,
0,,,,,,,,,,,,,,,,,,,,,2496,,,,,True,,,,,,,
0,,,,,,,,GIARDINI,,,,,CROSDILL,,,,,,,True,2497,,,,,True,,RONCAGLIA,,,,,
1,,,,,,,,,,,,,PIELTAIN,,,,,,,,2497,,,,,,,HARRISON,,,,,
2,,,,,,,,,,,,,PARKE,,,,,,,,2497,,,,,,,PARKE~,,,,,
3,,,,,,,,,,,,,,,,,,,,,2497,,,,,,,(1ST,,,,,
4,,,,,,,,,,,,,,,,,,,,,2497,,,,,,,TIME,,,,,
5,,,,,,,,,,,,,,,,,,,,,2497,,,,,,,),,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,2499,,,,,,,,,,,,
0,,,PIELTAIN-dp,,,,,,,,,,,,,,,,,,2500,,,,,,,ABRAMS~,,,,,
1,,,SACCHINI,,,,,,,,,,,,,,,,,,2500,,,,,,,ABRAMS~t,,,,,
0,,,,,,,,CRAMER,,,,,,,,,,,,,2501,,,,,True,,,,,,,
0,,,COOKE,,,,,,,,,,,CRAMER-w,,,,,,,2502,PARKE,,,,True,,DRAPER~,,,CROSDILL,,
1,,,,,,,,,,,,,,,,,,,,,2502,,,,,,,PRUDOM~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2502,,,,,,,HARRISON,,,,,
3,,,,,,,,,,,,,,,,,,,,,2502,,,,,,,DYNE,,,,,
4,,,,,,,,,,,,,,,,,,,,,2502,,,,,,,REINHOLD,,,,,
0,,,,,,,,,,,,,SALOMON,,,,,,,,2504,,,,,,,RONCAGLIA,,,,,
1,,,,,,,,,,,,,CROSDILL,,,,,,,,2504,,,,,,,HARRISON,,,,,
2,,,,,,,,,,,,,FISCHER,,,,,,,,2504,,,,,,,BANTI~,,,,,
3,,,,,,,,,,,,,ABEL,,,,,,,,2504,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2505,,,,,True,,,,,,,
0,,,,,,,,,,,,,CRAMER-w,,,,,,,,2506,,,,,True,,PACCHIEROTTI,,,,,
1,,,,,,,,,,,,,CRAMER-jb,,,,,,,,2506,,,,,,,LEBRUN~,,,,,
2,,,,,,,,,,,,,ABEL,,,,,,,,2506,,,,,,,,,,,,
3,,,,,,,,,,,,,PIELTAIN-pj?,,,,,,,,2506,,,,,,,,,,,,
4,,,,,,,,,,,,,CROSDILL,,,,,,,,2506,,,,,,,,,,,,
5,,,,,,,,,,,,,FISCHER,,,,,,,,2506,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2508,,,,,True,,RONCAGLIA,,,,,
1,,,,,,,,,,,,,,,,,,,,,2508,,,,,,,NONINI,,,,,
2,,,,,,,,,,,,,,,,,,,,,2508,,,,,,,BARTHELEMON~cm,,,,,
3,,,,,,,,,,,,,,,,,,,,,2508,,,,,,,BARTHELEMON~m,,,,,
0,,,,,,,,,,,,,,,,,,,,,2509,,,,,True,,BINNS,,,,,
1,,,,,,,,,,,,,,,,,,,,,2509,,,,,,,GUEST,,,,,
2,,,,,,,,,,,,,,,,,,,,,2509,,,,,,,YOUNG_GENTLEMAN,,,,,
0,,,,,,,,,,,,,PIELTAIN,,,,,,,,2511,,,,,True,,WHEELER~,,,,,
1,,,,,,,,,,,,,FISCHER,,,,,,,,2511,,,,,,,TENDUCCI,,,,,
2,,,,,,,,,,,,,CROSDILL,,,,,,,,2511,,,,,,,,,,,,
3,,,,,,,,,,,,,KAMMELL,,,,,,,,2511,,,,,,,,,,,,
4,,,,,,,,,,,,,NICOLAI,,,,,,,,2511,,,,,,,,,,,,
5,,,,,,,,,,,,,JONES-e?,,,,,,,,2511,,,,,,,,,,,,
0,,,,,,,,,,,,,CRAMER-w,,,,,,,,2512,,,,,,,PACCHIEROTTI,,,,,
1,,,,,,,,,,,,,CRAMER-jb,,,,,,,,2512,,,,,,,BANTI~,,,,,
2,,,,,,,,,,,,,NONINI,,,,,,,,2512,,,,,,,ALLEGRANTI~,,,,,
3,,,,,,,,,,,,,CROSDILL,,,,,,,,2512,,,,,,,LEBRUN~,,,,,
4,,,,,,,,,,,,,LEBRUN,,,,,,,,2512,,,,,,,,,,,,
0,,,,,,,,,,,,,,SALOMON,,,,,,,2513,,,,,True,,BANTI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,2513,,,,,,,MANZOLETTO,,,,,
2,,,,,,,,,,,,,,,,,,,,,2513,,,,,,,REYNOLDS-2,,,,,
0,,,,,,,,,,,,,PIELTAIN-dp?,,,,,,,,2514,,,,,True,,RONCAGLIA,,,,,
1,,,,,,,,,,,,,PARKE,,,,,,,,2514,,,,,,,HARRISON,,,,,
2,,,,,,,,,,,,,REINAGLE-h,,,,,,,,2514,,,,,,,PARKE~,,,,,
3,,,,,,,,,,,,,PARKE~,,,,,,,,2514,,,,,,,(2ND,,,,,
4,,,,,,,,,,,,,,,,,,,,,2514,,,,,,,TIME,,,,,
5,,,,,,,,,,,,,,,,,,,,,2514,,,,,,,),,,,,
0,,,,,,,,,,,,,CRAMER-w?,,,,,,,,2515,,,,,True,,ANSANI,,,,,
1,,,,,,,,,,,,,REINAGLE-h?,,,,,,,,2515,,,,,,,WEICHSELL~f,,,,,
2,,,,,,,,,,,,,FLORIO,,,,,,,,2515,,,,,,,WEICHSELL~e,,,,,
3,,,,,,,,,,,,,MOLLER,,,,,,,,2515,,,,,,,,,,,,
0,,,,,,,,,,,,,,,NONINI,,,,,,2516,FISCHER,,,,,,NONINI,,,,,WEICHSELL
1,,,,,,,,,,,,,,,,,,,,,2516,,,,,,,ALLEGRANTI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,2516,,,,,,,BANTI~,,,,,
0,,,,,,,,CRAMER-w,,,,,CRAMER-w,,,,,,,,2517,,,,,True,,HARRISON,,,,,
1,,,,,,,,,,,,,CRAMER-jb,,,,,,,,2517,,,,,,,,,,,,
2,,,,,,,,,,,,,REINAGLE-h?,,,,,,,,2517,,,,,,,,,,,,
3,,,,,,,,,,,,,FISCHER,,,,,,,,2517,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2518,,,,,True,,,,,,,
0,,,,,,,,,,,,,,CRAMER-w,,,,,,,2519,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,2521,,,CURTIS-t,,,,,,,,,
0,,,,,,,,CURTIS-t,,,,,,,,,,,,,2522,,,,,True,,,,,,,
0,,,,,,,,,,,,,,BARTHELEMON,,,,,,,2524,,,,,True,,BANNISTER,,,,,
1,,,,,,,,,,,,,,,,,,,,,2524,,,,,,,WEICHSELL~f,,,,,
