,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN
0,,,,,,,,,,,,,,,,,,,,,72,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,74,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,74,,,,,,,GALLI~,,,,,
0,,,,,,,,,,,,,,,,,,,,True,76,,,,,True,,,,,,,
0,,,,,,,,,,,,,,COLLETT-r,,,,,,,78,,,,,True,,STEVENSON~,,,,,
0,,,,,,,,,,,,,,,,,,,,True,79,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,True,80,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,82,,,,,True,,FRASI~,,,,,
0,,,,,,,,,,,,,,,,,,,,True,83,,,,,,,,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,84,,,,,True,,NORRIS~,,,,,
0,,,,,,,,,,,,,,,,,,,,,85,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,85,,,,,,,GUADAGNI,,,,,
2,,,,,,,,,,,,,,,,,,,,,85,,,,,,,LOWE,,,,,
3,,,,,,,,,,,,,,,,,,,,,85,,,,,,,GALLI~,,,,,
4,,,,,,,,,,,,,,,,,,,,,85,,,,,,,REINHOLD,,,,,
5,,,,,,,,,,,,,,,,,,,,,85,,,,,,,COX-1,,,,,
0,,,,,,,,,,,,,,,,,,,,,86,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,87,,,,,True,,WALTZ,,,,,
1,,,,,,,,,,,,,,,,,,,,,87,,,,,,,YOUNG~I,,,,,
0,,,,,,,,,,,,,,,,,,,,,88,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,89,,,,,True,,THUMOTH,,,,,
0,,,,,,,,HANDEL,,,,,,,,,,,,,94,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,95,,,,,,,THUMOTH,,,,,
0,,,,,,,,,,,,,,,,,,,,,96,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,97,,,,,True,,,,,,,
0,,,,,,,,,,,,,,PINTO,,,,,,,99,,,,,True,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,99,,,,,,,BEARD,,,,,
2,,,,,,,,,,,,,,,,,,,,,99,,,,,,,ARNE-m,,,,,
3,,,,,,,,,,,,,,,,,,,,,99,,,,,,,DAVIES~m,,,,,
0,OWEN,,,,,,,,,SKEGGS,,,,COLLETT-R,,,,,,,102,WOODBRIDGE-1,,,,,,ARNE~c,,,HEBDEN,,
1,,,,,,,,,,,,,,,,,,,,,102,,,,,,,ARNE-m,,,,,
0,,,,,,,,HANDEL,,,,,,,,,,,,,103,,,,,,,GUADAGNI,,,,,
0,,,,,,,,,,,,,,FESTING,,,,,,,105,,,,,True,,BEARD,,,,,
0,,,,,,,,,,,,,,,,,,,,,107,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,107,,,,,,,STORER~,,,,,
2,,,,,,,,,,,,,,,,,,,,,107,,,,,,,BEARD,,,,,
0,,,,,,,,,,,,,,GIARDINI,,,,,,,109,VINCENT,,,,,,FRANCESINA~,,,PASQUALINO,,
1,,,,,,,,,,,,,,,,,,,,,109,,,,,,,GALLI~,,,,,
2,,,,,,,,,,,,,,,,,,,,,109,,,,,,,SHEWARD~,,,,,
0,,,,,,,,,,,,,,,,,,,,,112,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,113,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,114,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,114,,,,,,,BEARD,,,,,
0,,,,,,,,,,,,,,,,,,,,,115,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,117,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,118,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,119,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,119,,,,,,,BEARD,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,120,,,,,True,,,,,,,
0,,,,,,,,,,,,,,PASQUALI,,,,,,,122,,,,,True,,,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,123,,,,,True,,BEARD,,,,,
0,,,,,,,,,,,,,,,,,,,,,124,,,,,True,,,,,,,
0,BAUMGARTEN-s,,,,,,,,,,,,,GIARDINI,,,,,,,125,VINCENT,,,,,,FRASI~,,,PASQUALINO,,
0,,,,,,,,,,,,,,,,,,,,,127,,,,,True,,FRASI~,,,,,
0,,,,,,,,,,,GWYNN,,,GIARDINI,,,,,,,128,,,,,True,,,,,PASQUALINO,,
0,,,,,,,,,,,,,,,,,,,,,133,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,134,,,,,True,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,136,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,136,,,,,,,BEARD,,,,,
0,,,,,,,,,,,,,,,,,,,,,137,,,,,,,BEARD,,,,,
