Num,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN,GU,PSALTERY
2.0,,,,,,,,,,,,,,,,,,,,,99.0,,,,,False,,ARNE-m,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,99.0,,,,,False,,DAVIES~m,,,,,,,
0.0,OWEN,,,,,,,,,SKEGGS,,,,COLLETT-R,,,,,,,102.0,WOODBRIDGE-1,,,,,,ARNE~c,,,HEBDEN,,,,
1.0,,,,,,,,,,,,,,,,,,,,,102.0,,,,,,,ARNE-m,,,,,,,
0.0,,,,,,,,HANDEL,,,,,,,,,,,,,103.0,,,,,,,GUADAGNI,,,,,,,
0.0,,,,,,,,,,,,,,FESTING,,,,,,,105.0,,,,,False,,BEARD,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,107.0,,,,,,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,107.0,,,,,,,STORER~,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,107.0,,,,,,,BEARD,,,,,,,
0.0,,,,,,,,,,,,,,GIARDINI,,,,,,,109.0,VINCENT,,,,,,FRANCESINA~,,,PASQUALINO,,,,
1.0,,,,,,,,,,,,,,,,,,,,,109.0,,,,,,,GALLI~,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,109.0,,,,,,,SHEWARD~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,112.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,113.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,114.0,,,,,,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,114.0,,,,,,,BEARD,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,115.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,117.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,118.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,119.0,,,,,,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,119.0,,,,,,,BEARD,,,,,,,
0.0,,,,,,,,,,,,,,BROWN-a,,,,,,,120.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,PASQUALI,,,,,,,122.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,BROWN-a,,,,,,,123.0,,,,,False,,BEARD,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,124.0,,,,,False,,,,,,,,,
0.0,BAUMGARTEN-s,,,,,,,,,,,,,GIARDINI,,,,,,,125.0,VINCENT,,,,,,FRASI~,,,PASQUALINO,,,,
0.0,,,,,,,,,,,,,,,,,,,,,127.0,,,,,False,,FRASI~,,,,,,,
0.0,,,,,,,,,,,GWYNN,,,GIARDINI,,,,,,,128.0,,,,,False,,,,,PASQUALINO,,,,
0.0,,,,,,,,,,,,,,,,,,,,,133.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,134.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,136.0,,,,,,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,136.0,,,,,,,BEARD,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,137.0,,,,,,,BEARD,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,137.0,,,,,,,GALLI~,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,137.0,,,,,,,FRASI~,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,137.0,,,,,,,BRENT,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,137.0,,,,,,,WASS,,,,,,,
5.0,,,,,,,,,,,,,,,,,,,,,137.0,,,,,,,BOY,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,138.0,,,,,False,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,141.0,,,,,,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,141.0,,,,,,,BEARD,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,True,142.0,,,,,False,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,142.0,,,,,False,,GALLI~,,,,,,,
0.0,,,,,,,,,,,,,,GIARDINI,,,,,,,144.0,,,,,False,,,,,,,,,
