,No,Place,Title,Type,Price,Programme,Advert,Review,Notes,DateTime
1657,1658,DL,DL ORATORIO 73 [7TH],OS,B 10s 6d; P 5s; FG 3s 6d; SG 2s,HANDEL o ^JUDAS_MACCABAEUS^. V LINLEY~e WEICHSELL~f LINLEY~M1 <MARY_LINLEY> NORRIS PARRY-2. END PART1: GEMINIANI CNgr OP.3 NO.1 vn LINLEY-T2 <THOMAS>.,PA,,[LS.],1773-03-19 18:30:00
1658,1659,CG,CG ORATORIO 73 [7TH],OS,P 5s; B 4s; FG 3s; SG 2s,1: PASTICCIO: SYM; SG RISTORINI; GIORDANI SG REINHOLD <RECIT AND SG>; ARNE-m SG VENABLES~ <MR_ARNE> (NEW); NEGRI CH; BACH SG MATTOCKS~; BARTHELEMON SG BARTHELEMON~m + HN SPANDAU (NEW); ARNE-ta SG CATLEY~ <DR>. CN VN BARTHELEMON.  2: ARNE-ta o ^BEAUTY_AND_VIRTUE^ <SERENATA>; CN ORG ARNE-m <MR>.  3: ARNE-m ^THE_THUNDER_ODE^ <MR> (NEVER PERFORMED). V CATLEY~ MATTOCKS~ VENABLES~ RISTORINI BARTHELEMON~m REINHOLD. [?CN HN SPANDAU.],PA,See LS,[LS.] Thunder ode 'on the Hurricanes in the West Indies'.,1773-03-19 18:30:00
1659,1660,HAY,HAY ORATORIO 73 [7TH],OS,B 5s; P 3s; FG 2s; SG 1s,ARNOLD o ^THE_PRODIGAL_SON^ <ORATORIO>. V SMITH~1 HARPER~ GALLI~ VERNON MEREDITH-1. SL VN AGUS-j; CN CL MAHON.,PA,,[LS.],1773-03-19 18:30:00
1660,1661,H,CRAMER-w 73,CB,10s 6d,DIR BACH ABEL; V GRASSI~ GALLI~. CN FL TACET; SL VC CROSDILL; CN BN EICHNER; CN HN SPANDAU; SL VDAG ABEL; CN OB FISCHER; SL PF BACH; CN VN CRAMER-w; SL VN CRAMER-w.,PA,,,
1661,1662,A/W,BACH-ABEL 73 9TH,CS,,DIR ABEL; [BACH].,PA,,,1773-03-24 19:00:00
1662,1663,DL,DL ORATORIO 73 [8TH],OS,B 10s 6d; P 5s; FG 3s 6d; SG 2s,handel o ^ACIS_AND_GALATEA^; HANDEL o ^ode_for_st_cecilia's_day^ <DRYDEN_ODE>. V LINLEY~e WEICHSELL~f LINLEY~M1 <MARY_LINLEY> NORRIS PARRY-2. END PART1: CN ORG STANLEY.,PA,,[LS.],1773-03-24 18:30:00
1663,1664,CG,CG ORATORIO 73 [8TH],OS,P 5s; B 4s; FG 3s; SG 2s,1: PASTICCIO: SYM; SG RISTORINI; GIORDANI SG REINHOLD <RECIT AND SG>; ARNE-m SG VENABLES~ (NEW) <MR_ARNE>; NEGRI CH; BACH SG MATTOCKS~; BARTHELEMON SG BARTHELEMON~m + HN SPANDAU (NEW); ARNE-ta SG CATLEY~ <DR>. CN VN BARTHELEMON.  2: ARNE-ta o ^BEAUTY_AND_VIRTUE^ <SERENATA>; CN ORG ARNE-m <MR>.  3: ARNE-m ^THE_THUNDER_ODE^ <MR> (PERFORMED BUT ONCE). V CATLEY~ MATTOCKS~ VENABLES~ RISTORINI BARTHELEMON~m REINHOLD. [?CN HN SPANDAU.],PA,,[LS.] Thunder ode 'on the Hurricanes in the West Indies'.,1773-03-24 18:30:00
1664,1665,HAY,HAY ORATORIO 73 [8TH],OS,B 5s; P 3s; FG 2s; SG 1s,ARNOLD o ^THE_RESURRECTION^ <SACRED ORATORIO>. V SMITH~1 HARPER~ GALLI~ VERNON MEREDITH-1. CN CL MAHON. [later omitted: SL VN AGUS-j.],PA; PA 23 Mar,,[LS.],1773-03-24 18:30:00
1665,1666,HAY,FISCHER 73,CB,PB 10s 6d; FG 5s; SG 3s,LEAD CRAMER-w; V GRASSI~ WEICHSELL~f. SOLOS ON: VN CRAMER-w; VDAG ABEL; FL WEISS; BN EICHNER; VC CROSDILL; HN PUNTO; OB FISCHER. TR fl ob WEISS FISCHER + ?; BACH SG + hn ob PUNTO FISCHER.,PA; PA 2 Mar,Fanny Burney: Early Diary ed Ellis (London 1889) i.199,From 29 Mar.,1773-03-25 19:00:00
1666,1667,DL,DL ORATORIO 73 [9TH],OS,B 10s 6d; P 5s; FG 3s 6d; SG 2s,HANDEL o ^SAMSON^ <ORATORIO>. V LINLEY~e WEICHSELL~f LINLEY~M1 <MARY_LINLEY> NORRIS PARRY-2. END PART1: CN VN LINLEY-t2.,PA,,[LS.],1773-03-26 18:30:00
1667,1668,CG,CG ORATORIO 73 [9TH],OS,P 5s; B 4s; FG 3s; SG 2s,ARNE-ta o ^THE_DEATH_OF_ABEL^ <SACRED ORATORIO>. V CATLEY~ MATTOCKS~ VENABLES~ RISTORINI REINHOLD. END PART1: CN HN SPANDAU. END PART2: CN VN BARTHELEMON.,PA,,[LS.],1773-03-26 18:30:00
