,Composer,From,Genre,No,Title_of_Piece,Instrument_Num,Instrument,Performer
200,CIAMPI,0,SG,92,'PASTORELLA',0,0.0,GALLI~
201,0,0,CN,92,0,0,ob,VINCENT
202,HANDEL,0,SG,92,'RETURN_O_GOD',0,0.0,FRASI~
203,CIAMPI,0,SG,92,'VARCAN_COL',0,0.0,GALLI~
204,CIAMPI,0,SG,92,'SE_NON_TIMOR',0,0.0,GUADAGNI
205,HANDEL,0,SG,92,'TUNE_YOUR_HARPS',0,0.0,BEARD
206,HANDEL,0,DT,92,'PIU_AMABILE',0,v,CUZZONI~
207,HANDEL,0,DT,92,'PIU_AMABILE',1,v,GUADAGNI
208,HANDEL,0,CNGR,92,0,0,0.0,0.0
209,WORGAN,0,O,93,^DIRGE_TO_THE_MEMORY_OF..PRINCE_OF_WALES^,0,0.0,0.0
210,HANDEL,0,O,94,^MESSIAH^,0,0.0,0.0
211,0,0,VOLUNTARY,94,0,0,ORG,HANDEL
212,0,0,CNGR,96,0,0,0.0,0.0
213,HANDEL,HANDEL O ^SAUL^,0,96,0,0,0.0,MARCH
214,HANDEL,HANDEL O ^ALEXANDER'S_FEAST^,CH,96,'HAPPY_PAIR',0,0.0,HANDEL
215,0,0,CN,96,0,0,HPD,SNOW-J
216,0,0,CN,96,0,0,0.0,ESORP
217,HANDEL,0,TR,96,0,0,v,'THE_FLOCKS'
218,HANDEL,0,TR,96,0,1,v,'THE_FLOCKS'
219,HANDEL,0,TR,96,0,2,v,'THE_FLOCKS'
220,0,0,SL,96,0,0,HP,GWYNN
221,0,0,CN,96,0,0,vn,COLLETT-r
222,0,0,CN,96,0,0,fl,LAWSON
223,PEPUSCH,_THE_SILENT',SG,96,0,0,0.0,'SEE_
224,0,0,SL,96,0,0,vn,COLLETT-r
225,HANDEL,0,O,96,^GOD_SAVE_THE_KING^,0,0.0,0.0
226,GIARDINI,0,OV,98,0,0,0.0,0.0
227,0,0,SG,98,0,0,0.0,GUADAGNI
228,0,0,SG,98,0,0,0.0,FRASI~
229,0,0,SG,98,0,0,0.0,CUZZONI~
230,0,0,CN,98,0,0,vn,GIARDINI
231,0,0,SG,98,0,0,0.0,GUADAGNI
232,0,0,SG,98,0,0,0.0,FRASI~
233,GIARDINI,0,OV,98,0,0,0.0,0.0
234,0,0,SG,98,0,0,0.0,CUZZONI~
235,0,0,SG,98,0,0,0.0,GUADAGNI
236,0,0,SG,98,0,0,0.0,FRASI~
237,SAMMARTINI,0,SN,98,0,0,0.0,0.0
238,0,0,SG,98,0,0,0.0,CUZZONI~
239,0,0,DT,98,0,0,v,GUADAGNI
240,0,0,DT,98,0,1,v,FRASI~
241,0,0,CN,98,0,0,vn,GIARDINI
242,0,0,SL,99,0,0,VN,PINTO
243,0,0,CN,99,0,0,FL,DAVIES~m
244,0,0,CN,99,0,0,OB,EIFFERT
245,HANDEL,0,CN,99,0,0,HPD,DAVIES~m
246,DAVIES~M,0,CN,99,0,0,FL,DAVIES~m
247,0,0,CN,99,0,0,BN,BOMBARDIN
248,0,0,FP,99,0,0,0.0,WITH
249,HANDEL,0,O,103,^MESSIAH^,0,0.0,0.0
250,0,0,VOLUNTARY,103,0,0,ORG,HANDEL
251,GEMINIANI,0,CNGR,104,0,0,0.0,NO.3
252,0,0,SG,104,'AFFANNI_DEL_PENSIER',0,0.0,CUZZONI~
253,0,0,SG,104,0,0,0.0,GUADAGNI
254,0,0,CN,104,0,0,BN,MILLER-j
255,0,0,SL,104,0,0,VN,MORIGI-A1
256,0,0,SG,104,'FALSA_IMMAGINE',0,0.0,CUZZONI~
257,GEMINIANI,0,CNGR,104,0,0,0.0,NO.6
258,0,0,CN,104,0,0,VN,MORIGI-A1
259,0,0,SG,104,'RETURN_O_GOD',0,0.0,CUZZONI~
260,0,0,SG,104,0,0,0.0,PALMA-1
261,0,0,SL,104,0,0,VC,BENEKI
262,0,0,SG,104,'SALVE_REGINA',0,0.0,CUZZONI~
263,HANDEL,0,CNGR,104,0,0,0.0,5TH
264,0,0,CN,105,0,0,HPD,BUTLER
265,0,0,SL,105,0,0,VC,PASQUALINO
266,0,0,CN,105,0,0,BN,BAUMGARTEN-s
267,0,0,CN,105,0,0,TPT,ABINGTON
268,PERGOLESI,0,OV,110,0,0,0.0,0.0
269,PALMA-2,0,SG,110,'SON_LE_DONNE',0,0.0,SHEWARD~
270,JOMMELLI,0,SG,110,'PUPILLI',0,0.0,GALLI~
271,0,0,SL,110,0,0,VC,PASQUALINO
272,HANDEL,0,SG,110,'HEART',0,0.0,FRANCESINA~
273,CIAMPI,0,SG,110,'PASTORELLI',0,0.0,GALLI~
274,PASQUALI,0,CN,110,0,0,HPD,OGLE
275,0,0,CN,110,0,0,BN,MILLER-j
276,HANDEL,0,SG,110,'THE_PRINCE',0,0.0,SHEWARD~
277,GIACOMELLI,0,SG,110,'DATTE',0,0.0,FRANCESINA~
278,0,0,CN,110,0,0,vn,GIARDINI
279,PALMA-2,0,SG,110,'BASSA',0,0.0,GALLI~
280,HASSE,0,SG,110,'SIETE',0,0.0,FRANCESINA~
281,0,0,CNGR,110,0,0,0.0,0.0
282,[SOME,0,0,111,0,0,0.0,E.G
283,HANDEL,0,0,111,0,0,0.0,OV.]
