0,1,2,3,4,No
2.0,,,,,2599
0.0,6.0,,,,2601
0.0,4.0,,,,2602
3.0,,,,,2603
3.0,,,,,2604
2.0,,,,,2605
0.0,6.0,,,,2606
3.0,,,,,2607
3.0,,,,,2608
3.0,,,,,2610
2.0,,,,,2611
0.0,6.0,,,,2612
2.0,,,,,2614
7.0,,,,,2615
0.0,5.0,,,,2616
3.0,,,,,2617
4.0,,,,,2618
0.0,5.0,,,,2619
3.0,,,,,2621
0.0,4.0,,,,2622
0.0,5.0,,,,2624
0.0,5.0,,,,2625
3.0,,,,,2626
0.0,6.0,,,,2627
0.0,4.0,,,,2629
0.0,5.0,,,,2630
3.0,,,,,2631
2.0,,,,,2632
0.0,7.0,,,,2633
0.0,6.0,,,,2635
0.0,5.0,,,,2636
2.0,5.0,,,,2637
0.0,6.0,,,,2638
0.0,6.0,,,,2639
0.0,5.0,,,,2640
0.0,6.0,,,,2642
0.0,5.0,,,,2643
0.0,6.0,,,,2644
0.0,6.0,,,,2645
0.0,7.0,,,,2646
0.0,6.0,,,,2648
0.0,6.0,,,,2653
0.0,6.0,,,,2654
0.0,5.0,,,,2657
0.0,5.0,,,,2659
0.0,3.0,,,,2661
0.0,6.0,,,,2662
0.0,5.0,,,,2663
0.0,6.0,,,,2665
0.0,1.0,,,,2666
0.0,6.0,,,,2667
0.0,5.0,,,,2668
0.0,6.0,,,,2670
0.0,6.0,,,,2671
0.0,5.0,,,,2672
0.0,6.0,,,,2676
0.0,5.0,,,,2677
3.0,,,,,2678
0.0,5.0,,,,2679
3.0,,,,,2680
0.0,5.0,,,,2681
0.0,5.0,,,,2683
2.0,,,,,2684
0.0,5.0,,,,2685
0.0,5.0,,,,2686
2.0,,,,,2687
0.0,6.0,,,,2688
0.0,5.0,,,,2690
0.0,5.0,,,,2693
2.0,,,,,2696
0.0,6.0,,,,2697
5.0,,,,,2698
0.0,6.0,,,,2699
2.0,,,,,2700
0.0,7.0,,,,2701
0.0,5.0,,,,2702
0.0,5.0,,,,2704
0.0,7.0,,,,2706
0.0,5.0,,,,2709
0.0,5.0,12.0,,,2710
0.0,5.0,,,,2711
0.0,6.0,,,,2712
0.0,5.0,,,,2713
0.0,5.0,,,,2714
0.0,5.0,,,,2716
0.0,5.0,,,,2717
0.0,5.0,,,,2719
0.0,5.0,,,,2720
0.0,5.0,,,,2721
0.0,5.0,,,,2722
0.0,5.0,,,,2723
0.0,5.0,,,,2724
0.0,6.0,,,,2725
0.0,5.0,,,,2726
0.0,5.0,,,,2727
0.0,5.0,,,,2729
0.0,5.0,,,,2731
0.0,5.0,,,,2733
0.0,5.0,,,,2735
